x [mm],y [mm],z [mm],x-displacement [mm],y-displacement [mm],z-displacement [mm],vector length [mm],Exx [S],Eyy [S],Exy [S],poisson ratio -Min/Max,poisson ratio -Exx/Eyy,poisson ratio -Eyy/Exx,poisson ratio -Max/min,maximum normal strain [S],minimum normal strain [S],maximum shear strain [S],maximum shear angle [°],tresca strain [S],Von Mises strain [S],du/dx [S],du/dy [S],dv/dx [S],dv/dy [S],dw/dx [S],dw/dy [S]
1.829573,6.167421,-10.36299,1.891618e-12,0,0,1.891618e-12,0,-3.330669e-16,1.020343e-16,0,0,0,0,2.877244e-17,-3.618393e-16,1.953059e-16,60.74781,2.604079e-16,2.513666e-16,0,0,0,0,0,0
1.876863,6.167421,-10.392207,1.891618e-12,0,0,1.891618e-12,0,-2.220446e-16,-6.065006e-17,0,0,0,0,1.548612e-17,-2.375307e-16,1.265084e-16,30.676394,1.686779e-16,1.637601e-16,0,0,0,0,0,0
1.924154,6.167421,-10.425622,1.891618e-12,0,0,1.891618e-12,2.220446e-16,0,6.334415e-18,0,0,0,0,2.222252e-16,-1.805593e-19,1.112029e-16,46.632744,1.482705e-16,1.482103e-16,0,0,0,0,0,0
1.971444,6.167421,-10.455471,1.891618e-12,0,0,1.891618e-12,4.440892e-16,4.440892e-16,6.012606e-17,0,0,0,0,5.042153e-16,3.839632e-16,6.012606e-17,90,8.016808e-17,3.040911e-16,0,0,0,0,0,0
2.018735,6.167421,-10.480113,1.891618e-12,0,0,1.891618e-12,-2.220446e-16,-3.330669e-16,3.456553e-17,0,0,0,0,-2.121626e-16,-3.429489e-16,6.539315e-17,60.954788,8.719086e-17,1.99851e-16,0,0,0,0,0,0
2.066025,6.167421,-10.500215,1.891618e-12,0,0,1.891618e-12,0,2.220446e-16,1.538294e-17,0,0,0,0,2.231052e-16,-1.060642e-18,1.120829e-16,-48.94426,1.494439e-16,1.490916e-16,0,0,0,0,0,0
2.113316,6.167421,-10.517163,1.891618e-12,0,0,1.891618e-12,-1.110223e-16,4.440892e-16,8.196234e-18,0,0,0,0,4.442102e-16,-1.111433e-16,2.776767e-16,-45.845726,3.702357e-16,3.393108e-16,0,0,0,0,0,0
2.160606,6.167421,-10.531561,1.891618e-12,0,0,1.891618e-12,0,6.661338e-16,-1.958747e-17,0,0,0,0,6.667093e-16,-5.754668e-19,3.336424e-16,-43.317173,4.448565e-16,4.446648e-16,0,0,0,0,0,0
2.207896,6.167421,-10.542179,1.891618e-12,0,0,1.891618e-12,0,-2.220446e-16,4.585922e-17,0,0,0,0,9.098551e-18,-2.311432e-16,1.201209e-16,56.221855,1.601611e-16,1.572161e-16,0,0,0,0,0,0
2.255187,6.167421,-10.547672,1.891618e-12,0,0,1.891618e-12,0,6.661338e-16,-1.116976e-17,0,0,0,0,6.663211e-16,-1.872425e-19,3.332542e-16,-44.039623,4.443389e-16,4.442765e-16,0,0,0,0,0,0
2.302477,6.167421,-10.548807,1.891618e-12,0,0,1.891618e-12,-2.220446e-16,0,-6.687076e-17,0,0,0,0,1.858344e-17,-2.406281e-16,1.296057e-16,-29.469339,1.728077e-16,1.669583e-16,0,0,0,0,0,0
2.397058,6.167421,-10.56826,1.891618e-12,0,0,1.891618e-12,2.220446e-16,-2.220446e-16,2.269462e-18,0,0,0,0,2.220562e-16,-2.220562e-16,2.220562e-16,45.292793,2.960749e-16,2.564084e-16,0,0,0,0,0,0
2.444349,6.167421,-10.577873,1.891618e-12,0,0,1.891618e-12,0,-3.330669e-16,-4.459193e-17,0,0,0,0,5.866755e-18,-3.389337e-16,1.724002e-16,37.504906,2.29867e-16,2.279365e-16,0,0,0,0,0,0
2.491639,6.167421,-10.588088,1.891618e-12,0,0,1.891618e-12,2.220446e-16,0,1.060143e-17,0,0,0,0,2.225496e-16,-5.050126e-19,1.115273e-16,47.727295,1.487031e-16,1.48535e-16,0,0,0,0,0,0
2.53893,6.167421,-10.593962,1.891618e-12,0,0,1.891618e-12,2.220446e-16,-2.220446e-16,-1.681108e-17,0,0,0,0,2.226801e-16,-2.226801e-16,2.226801e-16,42.835186,2.969068e-16,2.571288e-16,0,0,0,0,0,0
2.58622,6.167421,-10.594516,1.891618e-12,0,0,1.891618e-12,2.220446e-16,2.220446e-16,-5.462828e-17,0,0,0,0,2.766729e-16,1.674163e-16,5.462828e-17,0,7.283771e-17,1.609093e-16,0,0,0,0,0,0
2.633511,6.167421,-10.59041,1.891618e-12,0,0,1.891618e-12,0,0,6.99534e-17,0,0,0,0,6.99534e-17,-6.99534e-17,6.99534e-17,90,9.327121e-17,8.077523e-17,0,0,0,0,0,0
2.680801,6.167421,-10.582262,1.891618e-12,0,0,1.891618e-12,0,-3.330669e-16,-5.079277e-18,0,0,0,0,7.744109e-20,-3.331444e-16,1.666109e-16,44.126511,2.221479e-16,2.221221e-16,0,0,0,0,0,0
2.728091,6.167421,-10.570797,1.891618e-12,0,0,1.891618e-12,4.440892e-16,2.220446e-16,1.31815e-16,0,0,0,0,5.054071e-16,1.607267e-16,1.723402e-16,69.946976,2.297869e-16,2.9817e-16,0,0,0,0,0,0
